SATELLITE                ,  earth-resource, education, engineering, geodetic, goes, science, space-stations, tdrss, weather
TANDEM-X                 ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
TANSUO 1 (TS 1)          ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
TATIANA 2                ,                ,          ,            ,         ,     , science,               ,      ,        ,
TDRS 1                   ,                ,          ,            ,         ,     ,        ,               , tdrss,        ,
TDRS 10                  ,                ,          ,            ,         ,     ,        ,               , tdrss,        ,
TDRS 3                   ,                ,          ,            ,         ,     ,        ,               , tdrss,        ,
TDRS 4                   ,                ,          ,            ,         ,     ,        ,               , tdrss,        ,
TDRS 5                   ,                ,          ,            ,         ,     ,        ,               , tdrss,        ,
TDRS 6                   ,                ,          ,            ,         ,     ,        ,               , tdrss,        ,
TDRS 7                   ,                ,          ,            ,         ,     ,        ,               , tdrss,        ,
TDRS 8                   ,                ,          ,            ,         ,     ,        ,               , tdrss,        ,
TDRS 9                   ,                ,          ,            ,         ,     ,        ,               , tdrss,        ,
TEAMSAT                  ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
TECHEDSAT                ,                ,          ,            ,         ,     ,        , space-stations,      ,        ,
TECHSAT 1B (GO-32)       ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
TERRA                    ,  earth-resource,          ,            ,         ,     , science,               , tdrss,        ,
TERRASAR-X               ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
TERRIERS                 ,                ,          ,            ,         ,     , science,               ,      ,        ,
TES                      ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
THEMIS A                 ,                ,          ,            ,         ,     ,        ,               , tdrss,        ,
THEMIS D                 ,                ,          ,            ,         ,     ,        ,               , tdrss,        ,
THEMIS E                 ,                ,          ,            ,         ,     ,        ,               , tdrss,        ,
THEOS                    ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
TIANGONG 1               ,                ,          ,            ,         ,     ,        , space-stations,      ,        ,
TIMED                    ,                ,          ,            ,         ,     , science,               , tdrss,        ,
TOMS EP                  ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
TOPEX/POSEIDON           ,                ,          ,            ,         ,     ,        ,               , tdrss,        ,
TOPSAT                   ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
TRACE                    ,                ,          ,            ,         ,     , science,               ,      ,        ,
TRMM                     ,  earth-resource,          ,            ,         ,     ,        ,               , tdrss,        ,
UGATUSAT                 ,                ,          ,            ,         ,     , science,               ,      ,        ,
UNISAT                   ,                , education,            ,         ,     ,        ,               ,      ,        ,
UNISAT 2                 ,                , education,            ,         ,     ,        ,               ,      ,        ,
UNISAT 3                 ,                , education,            ,         ,     ,        ,               ,      ,        ,
WE-WISH                  ,                ,          ,            ,         ,     ,        , space-stations,      ,        ,
WEOS                     ,                ,          ,            ,         ,     , science,               ,      ,        ,
WESTPAC                  ,                ,          ,            , geodetic,     ,        ,               ,      ,        ,
WISE                     ,                ,          ,            ,         ,     , science,               , tdrss,        ,
WORLDVIEW-1 (WV-1)       ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
WORLDVIEW-2              ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
XMM-NEWTON               ,                ,          ,            ,         ,     , science,               ,      ,        ,
YAOGAN 10                ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
YAOGAN 13                ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
YAOGAN 3                 ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
YAOGAN 4                 ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
YAOGAN 5                 ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
YAOGAN 6                 ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
YAOGAN 7                 ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
ZIYUAN 1-02C (ZY 1-02C)  ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
ZIYUAN 3 (ZY 3)          ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
